filename,directory,predicted_class
photo_1.jpg,G:\photos\historic\archaeological_site\Кабанское городище,3
photo_2.jpg,G:\photos\historic\archaeological_site\Кабанское городище,8
photo_1.jpg,G:\photos\historic\memorial\152-мм гаубица,1
photo_10.jpg,G:\photos\historic\memorial\152-мм гаубица,3
photo_11.jpg,G:\photos\historic\memorial\152-мм гаубица,8
photo_2.jpg,G:\photos\historic\memorial\152-мм гаубица,5
photo_3.jpg,G:\photos\historic\memorial\152-мм гаубица,4
photo_4.jpg,G:\photos\historic\memorial\152-мм гаубица,1
photo_5.jpg,G:\photos\historic\memorial\152-мм гаубица,6
photo_6.jpg,G:\photos\historic\memorial\152-мм гаубица,6
photo_7.jpg,G:\photos\historic\memorial\152-мм гаубица,7
photo_8.jpg,G:\photos\historic\memorial\152-мм гаубица,8
photo_9.jpg,G:\photos\historic\memorial\152-мм гаубица,1
photo_1.jpg,G:\photos\historic\memorial\T-34-85,1
photo_10.jpg,G:\photos\historic\memorial\T-34-85,8
photo_11.jpg,G:\photos\historic\memorial\T-34-85,2
photo_12.jpg,G:\photos\historic\memorial\T-34-85,5
photo_13.jpg,G:\photos\historic\memorial\T-34-85,7
photo_14.jpg,G:\photos\historic\memorial\T-34-85,8
photo_15.jpg,G:\photos\historic\memorial\T-34-85,3
photo_16.jpg,G:\photos\historic\memorial\T-34-85,1
photo_17.jpg,G:\photos\historic\memorial\T-34-85,3
photo_18.jpg,G:\photos\historic\memorial\T-34-85,3
photo_19.jpg,G:\photos\historic\memorial\T-34-85,7
photo_2.jpg,G:\photos\historic\memorial\T-34-85,1
photo_3.jpg,G:\photos\historic\memorial\T-34-85,1
photo_4.jpg,G:\photos\historic\memorial\T-34-85,6
photo_5.jpg,G:\photos\historic\memorial\T-34-85,2
photo_6.jpg,G:\photos\historic\memorial\T-34-85,1
photo_7.jpg,G:\photos\historic\memorial\T-34-85,3
photo_8.jpg,G:\photos\historic\memorial\T-34-85,1
photo_9.jpg,G:\photos\historic\memorial\T-34-85,1
photo_13.jpg,G:\photos\historic\memorial\А. Г. Васильченко,2
photo_14.jpg,G:\photos\historic\memorial\А. Г. Васильченко,7
photo_15.jpg,G:\photos\historic\memorial\А. Г. Васильченко,8
photo_16.jpg,G:\photos\historic\memorial\А. Г. Васильченко,4
photo_17.jpg,G:\photos\historic\memorial\А. Г. Васильченко,7
photo_2.jpg,G:\photos\historic\memorial\А. Г. Васильченко,4
photo_4.jpg,G:\photos\historic\memorial\А. Г. Васильченко,8
photo_7.jpg,G:\photos\historic\memorial\А. Г. Васильченко,7
photo_8.jpg,G:\photos\historic\memorial\А. Г. Васильченко,4
photo_1.jpg,G:\photos\historic\memorial\А. Г. Васильченко\other,6
photo_10.jpg,G:\photos\historic\memorial\А. Г. Васильченко\other,6
photo_11.jpg,G:\photos\historic\memorial\А. Г. Васильченко\other,7
photo_12.jpg,G:\photos\historic\memorial\А. Г. Васильченко\other,6
photo_3.jpg,G:\photos\historic\memorial\А. Г. Васильченко\other,4
photo_5.jpg,G:\photos\historic\memorial\А. Г. Васильченко\other,4
photo_6.jpg,G:\photos\historic\memorial\А. Г. Васильченко\other,2
photo_9.jpg,G:\photos\historic\memorial\А. Г. Васильченко\other,5
photo_2.jpg,G:\photos\historic\memorial\А. Кунанбаеву,6
photo_5.jpg,G:\photos\historic\memorial\А. Кунанбаеву,6
photo_7.jpg,G:\photos\historic\memorial\А. Кунанбаеву,1
photo_9.jpg,G:\photos\historic\memorial\А. Кунанбаеву,2
photo_1.jpg,G:\photos\historic\memorial\А. Кунанбаеву\other,7
photo_10.jpg,G:\photos\historic\memorial\А. Кунанбаеву\other,3
photo_11.jpg,G:\photos\historic\memorial\А. Кунанбаеву\other,5
photo_12.jpg,G:\photos\historic\memorial\А. Кунанбаеву\other,4
photo_13.jpg,G:\photos\historic\memorial\А. Кунанбаеву\other,1
photo_14.jpg,G:\photos\historic\memorial\А. Кунанбаеву\other,8
photo_15.jpg,G:\photos\historic\memorial\А. Кунанбаеву\other,2
photo_16.jpg,G:\photos\historic\memorial\А. Кунанбаеву\other,7
photo_3.jpg,G:\photos\historic\memorial\А. Кунанбаеву\other,5
photo_4.jpg,G:\photos\historic\memorial\А. Кунанбаеву\other,8
photo_6.jpg,G:\photos\historic\memorial\А. Кунанбаеву\other,7
photo_8.jpg,G:\photos\historic\memorial\А. Кунанбаеву\other,7
photo_1.jpg,G:\photos\historic\memorial\А. Н. Туполев,1
photo_10.jpg,G:\photos\historic\memorial\А. Н. Туполев,1
photo_12.jpg,G:\photos\historic\memorial\А. Н. Туполев,6
photo_2.jpg,G:\photos\historic\memorial\А. Н. Туполев,4
photo_3.jpg,G:\photos\historic\memorial\А. Н. Туполев,6
photo_4.jpg,G:\photos\historic\memorial\А. Н. Туполев,5
photo_5.jpg,G:\photos\historic\memorial\А. Н. Туполев,4
photo_6.jpg,G:\photos\historic\memorial\А. Н. Туполев,3
photo_9.jpg,G:\photos\historic\memorial\А. Н. Туполев,3
photo_11.jpg,G:\photos\historic\memorial\А. Н. Туполев\other,8
photo_13.jpg,G:\photos\historic\memorial\А. Н. Туполев\other,7
photo_7.jpg,G:\photos\historic\memorial\А. Н. Туполев\other,3
photo_8.jpg,G:\photos\historic\memorial\А. Н. Туполев\other,2
photo_1.jpg,G:\photos\historic\memorial\А. Ф. Можайскому,3
photo_3.jpg,G:\photos\historic\memorial\А. Ф. Можайскому,8
photo_2.jpg,G:\photos\historic\memorial\А. Ф. Можайскому\other,7
photo_1.jpg,G:\photos\historic\memorial\А.В. Вишневскому,2
photo_2.jpg,G:\photos\historic\memorial\А.В. Вишневскому,8
photo_6.jpg,G:\photos\historic\memorial\А.В. Вишневскому,1
photo_3.jpg,G:\photos\historic\memorial\А.В. Вишневскому\other,3
photo_4.jpg,G:\photos\historic\memorial\А.В. Вишневскому\other,5
photo_5.jpg,G:\photos\historic\memorial\А.В. Вишневскому\other,3
photo_7.jpg,G:\photos\historic\memorial\А.В. Вишневскому\other,7
photo_8.jpg,G:\photos\historic\memorial\А.В. Вишневскому\other,3
photo_9.jpg,G:\photos\historic\memorial\А.В. Вишневскому\other,2
photo_1.jpg,G:\photos\historic\memorial\А.Е. Арбузову\other,8
photo_2.jpg,G:\photos\historic\memorial\А.Е. Арбузову\other,1
photo_3.jpg,G:\photos\historic\memorial\А.Е. Арбузову\other,8
photo_1.jpg,G:\photos\historic\memorial\А.М. Бутлеров,3
photo_2.jpg,G:\photos\historic\memorial\А.М. Бутлеров,4
photo_3.jpg,G:\photos\historic\memorial\А.М. Бутлеров,2
photo_4.jpg,G:\photos\historic\memorial\А.М. Бутлеров,6
photo_5.jpg,G:\photos\historic\memorial\А.М. Бутлеров,5
photo_6.jpg,G:\photos\historic\memorial\А.М. Бутлеров,1
photo_7.jpg,G:\photos\historic\memorial\А.М. Бутлеров,3
photo_8.jpg,G:\photos\historic\memorial\А.М. Бутлеров,7
photo_10.jpg,G:\photos\historic\memorial\А.Н. Туполеву,7
photo_11.jpg,G:\photos\historic\memorial\А.Н. Туполеву,3
photo_12.jpg,G:\photos\historic\memorial\А.Н. Туполеву,5
photo_2.jpg,G:\photos\historic\memorial\А.Н. Туполеву,7
photo_3.jpg,G:\photos\historic\memorial\А.Н. Туполеву,7
photo_4.jpg,G:\photos\historic\memorial\А.Н. Туполеву,7
photo_5.jpg,G:\photos\historic\memorial\А.Н. Туполеву,3
photo_6.jpg,G:\photos\historic\memorial\А.Н. Туполеву,8
photo_7.jpg,G:\photos\historic\memorial\А.Н. Туполеву,5
photo_8.jpg,G:\photos\historic\memorial\А.Н. Туполеву,8
photo_1.jpg,G:\photos\historic\memorial\А.Н. Туполеву\other,6
photo_13.jpg,G:\photos\historic\memorial\А.Н. Туполеву\other,1
photo_14.jpg,G:\photos\historic\memorial\А.Н. Туполеву\other,4
photo_15.jpg,G:\photos\historic\memorial\А.Н. Туполеву\other,3
photo_16.jpg,G:\photos\historic\memorial\А.Н. Туполеву\other,6
photo_17.jpg,G:\photos\historic\memorial\А.Н. Туполеву\other,4
photo_18.jpg,G:\photos\historic\memorial\А.Н. Туполеву\other,6
photo_9.jpg,G:\photos\historic\memorial\А.Н. Туполеву\other,3
photo_1.jpg,G:\photos\historic\memorial\А.С. Пушкин,1
photo_10.jpg,G:\photos\historic\memorial\А.С. Пушкин,8
photo_11.jpg,G:\photos\historic\memorial\А.С. Пушкин,5
photo_12.jpg,G:\photos\historic\memorial\А.С. Пушкин,7
photo_13.jpg,G:\photos\historic\memorial\А.С. Пушкин,1
photo_2.jpg,G:\photos\historic\memorial\А.С. Пушкин,7
photo_3.jpg,G:\photos\historic\memorial\А.С. Пушкин,5
photo_4.jpg,G:\photos\historic\memorial\А.С. Пушкин,1
photo_5.jpg,G:\photos\historic\memorial\А.С. Пушкин,8
photo_6.jpg,G:\photos\historic\memorial\А.С. Пушкин,6
photo_7.jpg,G:\photos\historic\memorial\А.С. Пушкин,2
photo_8.jpg,G:\photos\historic\memorial\А.С. Пушкин,3
photo_9.jpg,G:\photos\historic\memorial\А.С. Пушкин,5
photo_1.jpg,G:\photos\historic\memorial\Автобус ЛАЗ-695М\other,4
photo_2.jpg,G:\photos\historic\memorial\Автобус ЛАЗ-695М\other,6
photo_3.jpg,G:\photos\historic\memorial\Автобус ЛАЗ-695М\other,5
photo_1.jpg,G:\photos\historic\memorial\Автолавка\other,5
photo_2.jpg,G:\photos\historic\memorial\Автолавка\other,5
photo_3.jpg,G:\photos\historic\memorial\Автолавка\other,1
